                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2253,                 1.6728,                 1.3653,                0.76766,                0.74172,                0.80894,                0.55263,                 1.0864,                 2.6595,                 1.3237,             0.00064706,             0.00064706,             0.00064706
                      2,                0.95927,                 1.0124,                  1.143,                0.42581,                0.86452,                 0.7391,                0.46548,                 1.1398,                 7.4018,                 1.6011,              0.0013007,              0.0013007,              0.0013007
                      3,                0.97097,                0.99432,                 1.1713,                0.41243,                 0.8499,                0.60584,                 0.3649,                 1.1733,                 7.4344,                 1.5817,              0.0019412,              0.0019412,              0.0019412
                      4,                0.96423,                0.97874,                 1.1658,                 0.6569,                0.71097,                0.68558,                0.43395,                 1.1362,                 1.5944,                 1.4303,              0.0019406,              0.0019406,              0.0019406
                      5,                0.93871,                0.87646,                 1.1578,                0.68504,                0.68685,                0.73111,                0.51404,                 1.0613,                 1.3784,                 1.3929,              0.0019208,              0.0019208,              0.0019208
                      6,                0.80986,                0.75748,                 1.1028,                0.83378,                0.89181,                0.89568,                0.73955,                0.68085,                0.85577,                 1.0692,               0.001901,               0.001901,               0.001901
                      7,                0.73382,                0.68766,                 1.0612,                0.86644,                0.87719,                0.91335,                0.74723,                0.66042,                0.76297,                  1.041,              0.0018812,              0.0018812,              0.0018812
                      8,                0.72118,                0.63889,                 1.0259,                0.83454,                0.86745,                 0.8832,                  0.728,                0.68924,                 1.1644,                 1.0975,              0.0018614,              0.0018614,              0.0018614
                      9,                0.75331,                0.69441,                 1.0642,                0.89031,                0.93351,                 0.9407,                0.80321,                0.60035,                0.62391,                 1.0026,              0.0018416,              0.0018416,              0.0018416
                     10,                0.69469,                0.63132,                 1.0323,                0.93835,                0.91423,                0.93856,                0.77893,                0.61235,                0.63693,                 1.0025,              0.0018218,              0.0018218,              0.0018218
                     11,                0.64241,                0.57732,                0.99903,                0.89127,                  0.923,                0.94022,                0.80794,                0.60229,                0.60137,                 1.0024,               0.001802,               0.001802,               0.001802
                     12,                 0.6305,                0.56758,                 1.0008,                0.94811,                0.94444,                0.94898,                0.81342,                 0.5645,                  0.529,                 1.0034,              0.0017822,              0.0017822,              0.0017822
                     13,                0.60993,                0.53779,                0.97864,                0.93085,                0.91228,                0.94646,                 0.8116,                0.59879,                0.58406,                 1.0035,              0.0017624,              0.0017624,              0.0017624
                     14,                0.57797,                0.51669,                0.96003,                0.92998,                0.95029,                0.95131,                0.85246,                0.50999,                0.48748,                 0.9716,              0.0017426,              0.0017426,              0.0017426
                     15,                0.55348,                0.51893,                0.95995,                 0.9419,                0.95419,                0.95089,                0.85263,                0.48394,                0.44858,                 0.9394,              0.0017228,              0.0017228,              0.0017228
                     16,                0.56594,                0.53087,                0.97542,                 0.9217,                0.95227,                0.93849,                0.84794,                0.45101,                0.46191,                0.92724,               0.001703,               0.001703,               0.001703
                     17,                0.54815,                0.51383,                0.96018,                0.95936,                0.95906,                 0.9559,                0.88088,                  0.407,                0.38144,                 0.8924,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.5142,                0.49803,                0.94227,                0.95648,                0.96199,                0.95537,                0.87012,                0.46067,                0.42689,                0.92656,              0.0016634,              0.0016634,              0.0016634
                     19,                0.51034,                0.47744,                0.94157,                0.96089,                0.96004,                0.95614,                0.87677,                0.43237,                0.40279,                0.90609,              0.0016436,              0.0016436,              0.0016436
