filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
img9.jpg,13311,"{}",1,0,"{""name"":""rect"",""x"":26,""y"":7,""width"":204,""height"":183}","{""class_id"":""1""}"
img8.jpg,11521,"{}",1,0,"{""name"":""rect"",""x"":0,""y"":1,""width"":229,""height"":194}","{""class_id"":""1""}"
img7.jpg,16056,"{}",1,0,"{""name"":""rect"",""x"":3,""y"":6,""width"":236,""height"":141}","{""class_id"":""1""}"
img6.jpg,11641,"{}",1,0,"{""name"":""rect"",""x"":1,""y"":19,""width"":251,""height"":148}","{""class_id"":""1""}"
img5.jpg,9067,"{}",1,0,"{""name"":""rect"",""x"":2,""y"":11,""width"":298,""height"":155}","{""class_id"":""1""}"
img4.jpg,19007,"{}",5,0,"{""name"":""rect"",""x"":1,""y"":58,""width"":296,""height"":109}","{""class_id"":""1""}"
img4.jpg,19007,"{}",5,1,"{""name"":""rect"",""x"":1,""y"":6,""width"":10,""height"":49}","{""class_id"":""1""}"
img4.jpg,19007,"{}",5,2,"{""name"":""rect"",""x"":12,""y"":32,""width"":17,""height"":24}","{""class_id"":""1""}"
img4.jpg,19007,"{}",5,3,"{""name"":""rect"",""x"":112,""y"":40,""width"":185,""height"":16}","{""class_id"":""1""}"
img4.jpg,19007,"{}",5,4,"{""name"":""rect"",""x"":153,""y"":2,""width"":143,""height"":34}","{""class_id"":""1""}"
img3.jpg,8473,"{}",1,0,"{""name"":""rect"",""x"":30,""y"":26,""width"":211,""height"":121}","{""class_id"":""1""}"
img2.jpg,168999,"{}",2,0,"{""name"":""rect"",""x"":8,""y"":8,""width"":577,""height"":357}","{""class_id"":""1""}"
img2.jpg,168999,"{}",2,1,"{""name"":""rect"",""x"":15,""y"":373,""width"":1178,""height"":1116}","{""class_id"":""1""}"
img1.jpg,131749,"{}",1,0,"{""name"":""rect"",""x"":84,""y"":41,""width"":585,""height"":473}","{""class_id"":""1""}"
img0.jpg,33658,"{}",4,0,"{""name"":""rect"",""x"":52,""y"":13,""width"":421,""height"":217}","{""class_id"":""1""}"
img0.jpg,33658,"{}",4,1,"{""name"":""rect"",""x"":237,""y"":244,""width"":255,""height"":231}","{""class_id"":""1""}"
img0.jpg,33658,"{}",4,2,"{""name"":""rect"",""x"":35,""y"":408,""width"":197,""height"":75}","{""class_id"":""1""}"
img0.jpg,33658,"{}",4,3,"{""name"":""rect"",""x"":3,""y"":245,""width"":47,""height"":161}","{""class_id"":""1""}"
