filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
img8.jpg,157215,"{}",9,0,"{""name"":""rect"",""x"":741,""y"":293,""width"":167,""height"":160}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,1,"{""name"":""rect"",""x"":889,""y"":370,""width"":109,""height"":153}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,2,"{""name"":""rect"",""x"":1031,""y"":659,""width"":250,""height"":191}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,3,"{""name"":""rect"",""x"":964,""y"":800,""width"":181,""height"":138}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,4,"{""name"":""rect"",""x"":517,""y"":474,""width"":336,""height"":231}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,5,"{""name"":""rect"",""x"":374,""y"":404,""width"":191,""height"":113}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,6,"{""name"":""rect"",""x"":201,""y"":727,""width"":173,""height"":176}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,7,"{""name"":""rect"",""x"":542,""y"":801,""width"":196,""height"":177}","{""class_id"":""0""}"
img8.jpg,157215,"{}",9,8,"{""name"":""rect"",""x"":357,""y"":923,""width"":166,""height"":167}","{""class_id"":""0""}"
img9.jpg,127180,"{}",2,0,"{""name"":""rect"",""x"":46,""y"":188,""width"":442,""height"":305}","{""class_id"":""0""}"
img9.jpg,127180,"{}",2,1,"{""name"":""rect"",""x"":362,""y"":8,""width"":128,""height"":160}","{""class_id"":""0""}"
img4.jpg,147663,"{}",5,0,"{""name"":""rect"",""x"":720,""y"":277,""width"":461,""height"":693}","{""class_id"":""0""}"
img4.jpg,147663,"{}",5,1,"{""name"":""rect"",""x"":499,""y"":1057,""width"":647,""height"":286}","{""class_id"":""0""}"
img4.jpg,147663,"{}",5,2,"{""name"":""rect"",""x"":29,""y"":1054,""width"":417,""height"":313}","{""class_id"":""0""}"
img4.jpg,147663,"{}",5,3,"{""name"":""rect"",""x"":7,""y"":512,""width"":679,""height"":485}","{""class_id"":""0""}"
img4.jpg,147663,"{}",5,4,"{""name"":""rect"",""x"":320,""y"":1396,""width"":494,""height"":158}","{""class_id"":""0""}"
img2.jpg,9918,"{}",3,0,"{""name"":""rect"",""x"":67,""y"":58,""width"":115,""height"":137}","{""class_id"":""0""}"
img2.jpg,9918,"{}",3,1,"{""name"":""rect"",""x"":4,""y"":203,""width"":152,""height"":42}","{""class_id"":""0""}"
img2.jpg,9918,"{}",3,2,"{""name"":""rect"",""x"":3,""y"":152,""width"":55,""height"":38}","{""class_id"":""0""}"
img7.jpg,179740,"{}",1,0,"{""name"":""rect"",""x"":243,""y"":40,""width"":741,""height"":766}","{""class_id"":""0""}"
img5.jpg,77205,"{}",6,0,"{""name"":""rect"",""x"":224,""y"":199,""width"":685,""height"":428}","{""class_id"":""0""}"
img5.jpg,77205,"{}",6,1,"{""name"":""rect"",""x"":763,""y"":17,""width"":436,""height"":139}","{""class_id"":""0""}"
img5.jpg,77205,"{}",6,2,"{""name"":""rect"",""x"":998,""y"":658,""width"":188,""height"":210}","{""class_id"":""0""}"
img5.jpg,77205,"{}",6,3,"{""name"":""rect"",""x"":856,""y"":951,""width"":268,""height"":178}","{""class_id"":""0""}"
img5.jpg,77205,"{}",6,4,"{""name"":""rect"",""x"":551,""y"":1050,""width"":303,""height"":124}","{""class_id"":""0""}"
img5.jpg,77205,"{}",6,5,"{""name"":""rect"",""x"":10,""y"":1038,""width"":79,""height"":152}","{""class_id"":""0""}"
img6.jpg,196698,"{}",2,0,"{""name"":""rect"",""x"":118,""y"":152,""width"":456,""height"":806}","{""class_id"":""0""}"
img6.jpg,196698,"{}",2,1,"{""name"":""rect"",""x"":640,""y"":546,""width"":430,""height"":425}","{""class_id"":""0""}"
img3.jpg,130983,"{}",5,0,"{""name"":""rect"",""x"":43,""y"":70,""width"":727,""height"":199}","{""class_id"":""0""}"
img3.jpg,130983,"{}",5,1,"{""name"":""rect"",""x"":311,""y"":279,""width"":496,""height"":468}","{""class_id"":""0""}"
img3.jpg,130983,"{}",5,2,"{""name"":""rect"",""x"":825,""y"":338,""width"":103,""height"":362}","{""class_id"":""0""}"
img3.jpg,130983,"{}",5,3,"{""name"":""rect"",""x"":123,""y"":766,""width"":667,""height"":274}","{""class_id"":""0""}"
img3.jpg,130983,"{}",5,4,"{""name"":""rect"",""x"":28,""y"":615,""width"":284,""height"":196}","{""class_id"":""0""}"
img0.jpg,42496,"{}",2,0,"{""name"":""rect"",""x"":4,""y"":383,""width"":639,""height"":579}","{""class_id"":""0""}"
img0.jpg,42496,"{}",2,1,"{""name"":""rect"",""x"":442,""y"":33,""width"":209,""height"":315}","{""class_id"":""0""}"
img1.jpg,172023,"{}",3,0,"{""name"":""rect"",""x"":199,""y"":75,""width"":846,""height"":748}","{""class_id"":""0""}"
img1.jpg,172023,"{}",3,1,"{""name"":""rect"",""x"":9,""y"":459,""width"":124,""height"":436}","{""class_id"":""0""}"
img1.jpg,172023,"{}",3,2,"{""name"":""rect"",""x"":570,""y"":864,""width"":314,""height"":293}","{""class_id"":""0""}"
